Year,Month,Make,Model,Quantity,Pct
2007,1,Volkswagen ,Volkswagen Passat,1267,10
2007,1,Volkswagen ,Volkswagen Golf,720,5.7
2007,1,Volkswagen ,Volkswagen Touran,235,1.9
2007,1,Volkswagen ,Volkswagen Polo,218,1.7
2007,2,Volkswagen ,Volkswagen Passat,602,6.1
2007,2,Volkswagen ,Volkswagen Golf,442,4.5
2007,2,Volkswagen ,Volkswagen Touran,189,1.9
2007,2,Volkswagen ,Volkswagen Polo,162,1.7
2007,3,Volkswagen ,Volkswagen Passat,521,4.6
2007,3,Volkswagen ,Volkswagen Golf,402,3.6
2007,3,Volkswagen ,Volkswagen Polo,197,1.7
2007,3,Volkswagen ,Volkswagen Touran,194,1.7
2007,4,Volkswagen ,Volkswagen Passat,375,4.2
2007,4,Volkswagen ,Volkswagen Golf,342,3.9
2007,4,Volkswagen ,Volkswagen Touran,229,2.6
2007,4,Volkswagen ,Volkswagen Polo,167,1.9
2007,5,Volkswagen ,Volkswagen Golf,669,5.6
2007,5,Volkswagen ,Volkswagen Passat,607,5.1
2007,5,Volkswagen ,Volkswagen Touran,262,2.2
2007,5,Volkswagen ,Volkswagen Polo,258,2.1
2007,6,Volkswagen ,Volkswagen Golf,510,4.6
2007,6,Volkswagen ,Volkswagen Passat,509,4.6
2007,6,Volkswagen ,Volkswagen Polo,227,2
2007,6,Volkswagen ,Volkswagen Touran,191,1.7
2007,7,Volkswagen ,Volkswagen Passat,811,6.7
2007,7,Volkswagen ,Volkswagen Golf,447,3.7
2007,7,Volkswagen ,Volkswagen Touran,218,1.8
2007,7,Volkswagen ,Volkswagen Polo,214,1.8
2007,8,Volkswagen ,Volkswagen Passat,644,6
2007,8,Volkswagen ,Volkswagen Golf,476,4.4
2007,8,Volkswagen ,Volkswagen Polo,210,1.9
2007,8,Volkswagen ,Volkswagen Touran,209,1.9
2007,9,Volkswagen ,Volkswagen Golf,473,5.1
2007,9,Volkswagen ,Volkswagen Passat,459,4.9
2007,9,Volkswagen ,Volkswagen Touran,177,1.9
2007,9,Volkswagen ,Volkswagen Polo,149,1.6
2007,10,Volkswagen ,Volkswagen Golf,675,5.8
2007,10,Volkswagen ,Volkswagen Passat,491,4.2
2007,10,Volkswagen ,Volkswagen Touran,356,3.1
2007,10,Volkswagen ,Volkswagen Polo,276,2.4
2007,11,Volkswagen ,Volkswagen Golf,530,5.1
2007,11,Volkswagen ,Volkswagen Passat,527,5
2007,11,Volkswagen ,Volkswagen Touran,207,2
2007,11,Volkswagen ,Volkswagen Polo,104,1
2007,12,Volkswagen ,Volkswagen Golf,390,4.2
2007,12,Volkswagen ,Volkswagen Passat,381,4.1
2007,12,Volkswagen ,Volkswagen Touran,135,1.5
2007,12,Volkswagen ,Volkswagen Polo,108,1.2
2008,1,Volkswagen ,Volkswagen Golf,425,4.3
2008,1,Volkswagen ,Volkswagen Passat,365,3.7
2008,2,Volkswagen ,Volkswagen Passat,551,5.2
2008,2,Volkswagen ,Volkswagen Golf,488,4.6
2008,2,Volkswagen ,Volkswagen Tiguan,340,3.2
2008,3,Volkswagen ,Volkswagen Golf,453,4.8
2008,3,Volkswagen ,Volkswagen Passat,396,4.2
2008,3,Volkswagen ,Volkswagen Tiguan,267,2.8
2008,4,Volkswagen ,Volkswagen Golf,598,5.1
2008,4,Volkswagen ,Volkswagen Passat,478,4.1
2008,4,Volkswagen ,Volkswagen Tiguan,221,1.9
2008,5,Volkswagen ,Volkswagen Golf,416,4.1
2008,5,Volkswagen ,Volkswagen Passat,372,3.6
2008,5,Volkswagen ,Volkswagen Tiguan,218,2.1
2008,6,Volkswagen ,Volkswagen Golf,358,3.7
2008,6,Volkswagen ,Volkswagen Passat,300,3.1
2008,6,Volkswagen ,Volkswagen Tiguan,182,1.9
2008,7,Volkswagen ,Volkswagen Golf,437,4.5
2008,7,Volkswagen ,Volkswagen Passat,205,2.1
2008,7,Volkswagen ,Volkswagen Tiguan,199,2.1
2008,8,Volkswagen ,Volkswagen Golf,418,5.3
2008,8,Volkswagen ,Volkswagen Tiguan,354,4.5
2008,8,Volkswagen ,Volkswagen Passat,245,3.1
2008,9,Volkswagen ,Volkswagen Golf,401,4.7
2008,9,Volkswagen ,Volkswagen Passat,326,3.9
2008,9,Volkswagen ,Volkswagen Tiguan,225,2.7
2008,10,Volkswagen ,Volkswagen Golf,459,5.5
2008,10,Volkswagen ,Volkswagen Passat,334,4
2008,10,Volkswagen ,Volkswagen Tiguan,264,3.1
2008,11,Volkswagen ,Volkswagen Passat,342,4.9
2008,11,Volkswagen ,Volkswagen Golf,307,4.4
2008,11,Volkswagen ,Volkswagen Tiguan,293,4.2
2008,12,Volkswagen ,Volkswagen Passat,348,4.5
2008,12,Volkswagen ,Volkswagen Golf,319,4.1
2008,12,Volkswagen ,Volkswagen Tiguan,312,4
2009,1,Volkswagen ,Volkswagen Golf,318,5.9
2009,1,Volkswagen ,Volkswagen Passat,161,3
2009,1,Volkswagen ,Volkswagen Tiguan,80,1.5
2009,2,Volkswagen ,Volkswagen Golf,339,5.4
2009,2,Volkswagen ,Volkswagen Passat,245,3.9
2009,2,Volkswagen ,Volkswagen Tiguan,143,2.3
2009,3,Volkswagen ,Volkswagen Golf,344,4.5
2009,3,Volkswagen ,Volkswagen Passat,175,2.3
